row_id,paper_id,discipline,term,evidence,decision,note
75,pastorsatorras2001-epidemic-scalefree,epidemiology,statistical-significance,The scale-free connectivity of the Internet implies that each node has a statistically significant probability of having a very large number of connections compared to the average ,,
76,simonyan2014-vgg,artificial-intelligence,Bayesian,Learning generative visual models from few training examples: An In IEEE CVPR Workshop of Generative incremental bayesian approach tested on 101 object categories.,,
77,jitendra2016-math,education,confidence-interval,h- quality or four acceptable-quality studies supporting the practice and the weighted effect size with a 95% confidence interval is significantly greater than zero; a practice is ,,
78,chernozhukov2018-double-ml,statistics,median,"(Incorporating the Impact of Sample Splitting using Mean and Median Methods) For point estimation, we define ̃θmean 0 1 S S (cid:88) s=1 ̃θs 0 or ̃θmedian 0 = median{ ̃θs 0}S s=1, ",,
79,gomez-bombarelli2018-molecular-design,chemistry,standard-deviation,"Whereas each individual dimension shows a slightly different mean and standard deviation, all follow normal distribution as enforced by the variational regularizer.",,
80,elgammal2017-creative-gan,art-history,sample-size,"1: Input: mini-batch images x, matching label ˆc, number of training batch steps S 2: for n = 1 to S do 3: 4: 5: 6: 7: z ∼ N (0, 1)Z {Draw sample of random noise} ˆx ← G(z) {Forwar",,
81,vaswani2017-attention,artificial-intelligence,statistical-significance,Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train.,,
82,gatys2015-style-transfer,art-history,standard-error,(1) (2) from which the gradient with respect to the image (cid:126)x can be computed using standard error back-propagation.,,
83,kozlowski2019-geometry-culture,digital-humanities,standard-deviation,n are (1) greater disagreement among those surveyed regarding race and class 33 ​ ​ ​ ​ associations (average standard deviation=23.1) than gender (SD=20.8); (2) greater disagreeme,,
84,tishby1999-information-bottleneck,information-theory,Bayesian,") exp −β "" p(y|x) log p(y|x) p(y| ̃x) # y X (16) where the distribution p(y| ̃x) in the exponent is given via Bayes’ rule and the Markov chain condition ̃X ← X ← Y , as, p(y| ̃x) =",,
85,ioannidis2005-false-findings,statistics,false-discovery-rate,"Despite a large statistical literature for multiple testing corrections [37], usually it is impossible to decipher how much data dredging by the reporting authors or other research",,
86,ribeiro2016-lime,statistics,statistical-significance,"However, real-world data is often significantly different, and further, the evaluation metric may not be indicative of the product’s goal.",,
87,kitaev2003-anyons,physics,mean,"If the gauge symmetry is broken then there is a nonvanishing vacuum average of the Higgs field, φ(s) = = 0.",,
88,pennington2014-glove,linguistics,correlation,We compute Spearman’s rank correlation coefficient between this score and the human judgments.,,
89,logan1990-automaticity,cognitive-psychology,correlation,Error rate averaged 4% and was positively correlated with mean reaction time.,,
90,mnih2013-dqn,artificial-intelligence,Bayesian,Bayesian learning of recursively fac- In Proceedings of the Thirtieth International Conference on Machine tored environments.,,
91,gu2020-ml-asset-pricing,quantitative-finance,t-test,"GRS 10.75 -4.35 -2.68 -1.05 -0.54 2.17 2.20 3.41 4.86 5.39 6.59 9.96 p 0.00 This table shows the average returns, time series pricing errors and corresponding t-statistics for β-so",,
92,wager2018-causal-forests,statistics,hypothesis-testing,Quantifying uncertainty in random forests via confidence intervals and hypothesis tests.,,
93,bai2022-constitutional-ai,artificial-intelligence,statistical-significance,"Past experiments [Bai et al., 2022] showed that RLHF significantly improves the models’ ability to follow instructions, and the HH model is significantly more harmless than the hel",,
94,srivastava2014-dropout,artificial-intelligence,regression,The marginal- ization of dropout noise in the context of linear regression was discussed in Srivastava (2013).,,
95,asgari2015-protvec,biology,statistical-significance,A visual comparison between Figs 3 and 2 suggest that the FG-Nups have a significantly higher amount of hydrophobic residues and less polar residues in their PLOS ONE | DOI:10.1371,,
96,love2014-deseq2,genetics,R-squared,The adjusted Rand index [37] was used to compare a hierarchical clustering based on various distances with the true cluster membership.,,
97,hamilton2016-diachronic-embeddings,digital-humanities,regression,"The plots show robust linear regression fits (Huber, 2011) with 95% CIs on the 2000s decade of the COHA lemma data.",,
98,recht2019-continuous-control,control-theory,Bayesian,Bayesian Optimal Control of Smoothly Parameterized Systems: The Lazy Posterior Sampling Algorithm.,,
99,kitaev2003-anyons,physics,standard-error,This process is quite similar to the standard error correction procedure for the repetition code.,,
100,asgari2015-protvec,biology,regression,Least squares support vector machine classifiers.,,
101,ng2017-dna2vec,genetics,regression,Least squares support vector machine classifiers.,,
102,newman2003-complex-networks,network-science,null-hypothesis,n of the size of the component of occupied vertices to which a randomly chosen vertex belongs is generated by H0(x) where 0.03 0.02 0.01 n o i t c a r f l a c i t i r c H0(x) = 1 H,,
103,clauset2009-power-law-data,statistics,p-value,"If the resulting p-value is greater than 0.1 the power law is a plausible hypothesis for the data, otherwise it is rejected.",,
104,hardt2016-equality-opportunity,law,correlation,"If A and X3, and thus A and Y , are positively correlated, then (cid:101)R would depend inversely on A (see numerical construction below), introducing a form of “corre",,
105,shannon1948-communication,information-theory,mean,"ly: W log P N If the noise is Gaussian but with a spectrum which is not necessarily flat, N1 is the geometric mean of (cid:16) (cid:17) the noise power over the various frequencies",,
106,eht2019-m87-black-hole,astronomy,median,median zenith atmospheric opacities at 230 GHz ranging from 0.03 to 0.28 over the different locations.,,
107,nguyen2020-text-as-data,digital-humanities,sample-size,Expanding the collection beyond the documents that we would immediately think of has the beneficial effect of increasing our sample size.,,
108,friis2017-nudge,behavioral-economics,standard-deviation,"3 Mean ± SD, all such values.",,
109,logan1990-automaticity,cognitive-psychology,sample-size,"Intuitively, the power- function speed-up follows from two opposing tendencies that govern the race: On the one hand, there are more opportunities to observe an ex- treme value as ",,
110,kingma2014-adam,artificial-intelligence,Bayesian,"e with high probability within some set region in parameter space; it is not uncommon, for example, to have a prior distribution over the parameters.",,
111,schutt2017-schnet,chemistry,Bayesian,Bayesian interpolation of unequally spaced time series.,,
112,shannon1948-communication,information-theory,sample-size,Increasing the sample size always sharpens the possible statistical assertions.,,
113,onnela2007-tie-strengths,sociology,standard-deviation,Repeating this 10000 times gives a distribution of the estimates of the value the standard deviations of the .,,
114,srivastava2014-dropout,artificial-intelligence,statistical-significance,found that training a network with dropout and using this approximate averaging method at test time leads to significantly lower generalization error on a wide variety of classific,,
115,nakamoto2008-bitcoin,economics,p-value,q=0.1 z=0 P=1.0000000 z=1 P=0.2045873 z=2 P=0.0509779 z=3 P=0.0131722 z=4 P=0.0034552 z=5 P=0.0009137 z=6 P=0.0002428 z=7 P=0.0000647 z=8 P=0.0000173 z=9 P=0.0000046 z=10 P=0.00000,,
116,bock1986-syntactic,linguistics,variance,"None of the in- teractions involving the prime agency factor were significant, with all Fs < 1 in analyses of variance treating subjects as random effects, and all Fs < 1.07 in ana",,
117,kitaev2003-anyons,physics,null-hypothesis,"In particular, 0 = U H0 U † = H ′ 0 ≡ − X s σx s − X p σz p (8) 1, Qp ≡ H ′ In the field theory language, the vertex variables vs (or the operators σz s ) are a Higgs field.",,
118,candes2006-robust-uncertainty,information-theory,sample-size,Note that the problem here does not really have anything to do with l1-minimization per se; f cannot be reconstructed from its Fourier samples on Ω thereby showing that Theorem 1.1,,
119,schutt2017-schnet,chemistry,correlation,"Pearson, and A.",,
120,he2015-resnet,artificial-intelligence,mean,"For ResNet-110, we run it 5 times and show “best (mean±std)” as in [43].",,
